Property Type,Listing IDs,Occupancy,Nightly Rate,Monthly Income
"    'Condominium',","   '43459969',","    51,","    126,","    1970,"
"    'Condominium',","   '43680705',","    31,","    80,","    752,"
"    'Condominium',","   '44361683',","    66,","    140,","    2800,"
"    'Condominium',","   '44427467',","    18,","    134,","    704,"
"    'Condominium',","   '45099128',","    37,","    216,","    2430,"
"    'Condominium',","   '45409973',","    73,","    185,","    4070,"
"    'Condominium',","   '45447399',","    43,","    93,","    1221,"
"    'Condominium',","   '45467061',","    54,","    42,","    688,"
"    'Condominium',","   '45507042',","    22,","    93,","    611,"
"    'Condominium',","   '45532440',","    3,","    134,","    134,"
"    'Condominium',","   '45854834',","    40,","    83,","    1008,"
"    'Condominium',","   '46197692',","    0,","    153,","    0,"
"    'Condominium',","   '46487026',","    82,","    61,","    1505,"
"    'Condominium',","   '47236222',","    68,","    143,","    2932,"
"    'Condominium',","   '47803874',","    45,","    83,","    1121,"
"    'Condominium',","   '48106215',","    89,","    71,","    1870,"
"    'Condominium',","   '48183786',","    87,","    119,","    3054,"
"    'Condominium',","   '48352396',","    100,","    92,","    2760,"
"    'Condominium',","   '8441605',","    4,","    290,","    387,"
"    'Cottage',","   '11675391',","    24,","    72,","    528,"
"    'Cottage',","   '15732202',","    38,","    94,","    1097,"
"    'Cottage',","   '3838185',","    100,","    58,","    1764,"
"    'Cottage',","   '39315220',","    75,","    120,","    2720,"
"    'Cottage',","   '43619586',","    77,","    104,","    2420,"
"    'Cottage',","   '47433084',","    71,","    70,","    1488,"
"    'Guest suite',","   '10981157',","    18,","    54,","    293,"
"    'Guest suite',","   '12504396',","    35,","    71,","    751,"
"    'Guest suite',","   '14934137',","    34,","    78,","    819,"
"    'Guest suite',","   '15337339',","    80,","    51,","    1237,"
"    'Guest suite',","   '16613487',","    7,","    63,","    142,"
"    'Guest suite',","   '17573041',","    50,","    59,","    890,"
"    'Guest suite',","   '18579079',","    81,","    49,","    1220,"
"    'Guest suite',","   '21240561',","    81,","    78,","    1931,"
"    'Guest suite',","   '21426198',","    28,","    38,","    320,"
"    'Guest suite',","   '21447567',","    37,","    78,","    884,"
